date,case
2020-01-20,1
2020-01-21,1
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,3
2020-01-27,4
2020-01-28,4
2020-01-29,4
2020-01-30,7
2020-01-31,11
2020-02-01,12
2020-02-02,15
2020-02-03,15
2020-02-04,16
2020-02-05,21
2020-02-06,24
2020-02-07,24
2020-02-08,24
2020-02-09,27
2020-02-10,28
2020-02-11,28
2020-02-12,28
2020-02-13,28
2020-02-14,28
2020-02-15,28
2020-02-16,30
2020-02-17,30
2020-02-18,32
2020-02-19,66
2020-02-20,82
2020-02-21,156
2020-02-22,346
2020-02-23,556
2020-02-24,763
2020-02-25,893
2020-02-26,1146
2020-02-27,1595
2020-02-28,2022
2020-02-29,2931
2020-03-01,3526
2020-03-02,4212
2020-03-03,4812
2020-03-04,5328
2020-03-05,5766
2020-03-06,6284
2020-03-07,6767
2020-03-08,7134
2020-03-09,7382
2020-03-10,7513
2020-03-11,7755
2020-03-12,7869
2020-03-13,7979
2020-03-14,8086
2020-03-15,8162
2020-03-16,8236
2020-03-17,8320
2020-03-18,8413
2020-03-19,8565
2020-03-20,8652
2020-03-21,8799
2020-03-22,8897
2020-03-23,8961
2020-03-24,9037
2020-03-25,9137
2020-03-26,9241
2020-03-27,9332
2020-03-28,9478
2020-03-29,9583
2020-03-30,9661
2020-03-31,9786
2020-04-01,9887
2020-04-02,9976
2020-04-03,10062
2020-04-04,10156
2020-04-05,10237
2020-04-06,10284
2020-04-07,10331
2020-04-08,10384
2020-04-09,10423
2020-04-10,10450
2020-04-11,10480
2020-04-12,10512
2020-04-13,10537
2020-04-14,10564
2020-04-15,10591
2020-04-16,10613
2020-04-17,10635
2020-04-18,10653
2020-04-19,10661
2020-04-20,10674
2020-04-21,10683
2020-04-22,10694
2020-04-23,10702
2020-04-24,10708
2020-04-25,10718
2020-04-26,10728
2020-04-27,10738
2020-04-28,10752
2020-04-29,10761
2020-04-30,10765
2020-05-01,10774
2020-05-02,10780
2020-05-03,10793
2020-05-04,10801
2020-05-05,10804
2020-05-06,10806
2020-05-07,10810
2020-05-08,10822
2020-05-09,10840
2020-05-10,10874
2020-05-11,10909
2020-05-12,10936
2020-05-13,10962
2020-05-14,10991
2020-05-15,11018
2020-05-16,11037
2020-05-17,11050
2020-05-18,11065
2020-05-19,11078
2020-05-20,11110
2020-05-21,11122
2020-05-22,11142
2020-05-23,11165
2020-05-24,11190
2020-05-25,11206
2020-05-26,11225
2020-05-27,11265
2020-05-28,11344
2020-05-29,11402
2020-05-30,11441
2020-05-31,11468
2020-06-01,11503
2020-06-02,11541
2020-06-03,11590
2020-06-04,11629
2020-06-05,11668
2020-06-06,11719
2020-06-07,11776
2020-06-08,11813
2020-06-09,11851
2020-06-10,11901
2020-06-11,11946
2020-06-12,12002
2020-06-13,12050
2020-06-14,12084
2020-06-15,12121
2020-06-16,12155
2020-06-17,12198
2020-06-18,12257
2020-06-19,12306
2020-06-20,12373
2020-06-21,12421
2020-06-22,12438
2020-06-23,12484
2020-06-24,12535
2020-06-25,12563
2020-06-26,12602
2020-06-27,12653
2020-06-28,12715
2020-06-29,12757
2020-06-30,12799
2020-07-01,12850
2020-07-02,12904
2020-07-03,12965
2020-07-04,13028
2020-07-05,13089
2020-07-06,13137
2020-07-07,13181
2020-07-08,13243
2020-07-09,13293
2020-07-10,13338
2020-07-11,13373
2020-07-12,13417
2020-07-13,13479
2020-07-14,13512
2020-07-15,13551
2020-07-16,13612
2020-07-17,13672
2020-07-18,13711
2020-07-19,13745
2020-07-20,13771
2020-07-21,13816
2020-07-22,13879
2020-07-23,13938
2020-07-24,13979
2020-07-25,14092
2020-07-26,14150
2020-07-27,14175
2020-07-28,14203
2020-07-29,14251
2020-07-30,14269
2020-07-31,14305
2020-08-01,14336
2020-08-02,14366
2020-08-03,14389
2020-08-04,14423
2020-08-05,14456
2020-08-06,14499
2020-08-07,14519
2020-08-08,14562
2020-08-09,14598
2020-08-10,14626
2020-08-11,14660
2020-08-12,14714
2020-08-13,14770
2020-08-14,14873
2020-08-15,15039
2020-08-16,15318
2020-08-17,15515
2020-08-18,15761
2020-08-19,16058
2020-08-20,16346
2020-08-21,16670
2020-08-22,17002
2020-08-23,17398
2020-08-24,17664
2020-08-25,17944
2020-08-26,18264
2020-08-27,18705
2020-08-28,19076
2020-08-29,19399
2020-08-30,19698
2020-08-31,19946
2020-09-01,20181
2020-09-02,20448
2020-09-03,20643
2020-09-04,20841
2020-09-05,21009
2020-09-06,21176
2020-09-07,21295
2020-09-08,21431
2020-09-09,21587
2020-09-10,21742
2020-09-11,21918
2020-09-12,22054
2020-09-13,22175
2020-09-14,22284
2020-09-15,22390
2020-09-16,22503
2020-09-17,22656
2020-09-18,22782
2020-09-19,22892
2020-09-20,22974
2020-09-21,23044
2020-09-22,23105
2020-09-23,23215
2020-09-24,23340
2020-09-25,23454
2020-09-26,23515
2020-09-27,23610
2020-09-28,23660
2020-09-29,23698
2020-09-30,23811
2020-10-01,23888
2020-10-02,23951
2020-10-03,24026
2020-10-04,24090
2020-10-05,24163
2020-10-06,24238
2020-10-07,24352
2020-10-08,24421
2020-10-09,24475
2020-10-10,24547
2020-10-11,24605
2020-10-12,24703
2020-10-13,24794
2020-10-14,24878
2020-10-15,24988
2020-10-16,25035
2020-10-17,25108
2020-10-18,25199
2020-10-19,25275
2020-10-20,25333
2020-10-21,25422
2020-10-22,25543
2020-10-23,25698
2020-10-24,25775
2020-10-25,25836
2020-10-26,25955
2020-10-27,26043
2020-10-28,26146
2020-10-29,26271
2020-10-30,26384
2020-10-31,26511
2020-11-01,26635
2020-11-02,26732
2020-11-03,26807
2020-11-04,26924
2020-11-05,27049
2020-11-06,27194
2020-11-07,27283
2020-11-08,27426
2020-11-09,27552
2020-11-10,27652
2020-11-11,27797
2020-11-12,27940
2020-11-13,28131
2020-11-14,28336
2020-11-15,28544
2020-11-16,28766
2020-11-17,28996
2020-11-18,29281
2020-11-19,29606
2020-11-20,29954
2020-11-21,30340
2020-11-22,30670
2020-11-23,30941
2020-11-24,31290
2020-11-25,31672
2020-11-26,32253
2020-11-27,32808
2020-11-28,33311
2020-11-29,33761
2020-11-30,34199
2020-12-01,34650
2020-12-02,35161
2020-12-03,35701
2020-12-04,36329
2020-12-05,36906
2020-12-06,37537
2020-12-07,38152
2020-12-08,38739
2020-12-09,39409
2020-12-10,40089
2020-12-11,40778
2020-12-12,41728
2020-12-13,42758
2020-12-14,43476
2020-12-15,44356
2020-12-16,45434
2020-12-17,46448
2020-12-18,47512
2020-12-19,48557
2020-12-20,49654
2020-12-21,50578
2020-12-22,51444
2020-12-23,52534
2020-12-24,53519
2020-12-25,54759
2020-12-26,55890
2020-12-27,56860
2020-12-28,57666
2020-12-29,58710
2020-12-30,59760
2020-12-31,60727
2021-01-01,61754
2021-01-02,62574
2021-01-03,63231
2021-01-04,64251
2021-01-05,64965
2021-01-06,65803
2021-01-07,66672
2021-01-08,67346
2021-01-09,67987
2021-01-10,68644
2021-01-11,69095
2021-01-12,69632
2021-01-13,70193
2021-01-14,70717
2021-01-15,71229
2021-01-16,71809
2021-01-17,72329
2021-01-18,72718
2021-01-19,73104
2021-01-20,73508
2021-01-21,73908
2021-01-22,74254
2021-01-23,74685
2021-01-24,75077
2021-01-25,75514
2021-01-26,75863
2021-01-27,76422
2021-01-28,76919
2021-01-29,77388
2021-01-30,77844
2021-01-31,78198
2021-02-01,78503
2021-02-02,78839
2021-02-03,79306
2021-02-04,79757
2021-02-05,80127
2021-02-06,80517
2021-02-07,80888
2021-02-08,81176
2021-02-09,81479
2021-02-10,81923
2021-02-11,82427
2021-02-12,82830
2021-02-13,83192
2021-02-14,83518
2021-02-15,83861
2021-02-16,84318
2021-02-17,84939
2021-02-18,85560
2021-02-19,86121
2021-02-20,86569
2021-02-21,86985
2021-02-22,87317
2021-02-23,87673
2021-02-24,88113
2021-02-25,88508
2021-02-26,88895
2021-02-27,89310
2021-02-28,89665
2021-03-01,90020
2021-03-02,90364
2021-03-03,90808
2021-03-04,91232
2021-03-05,91630
2021-03-06,92048
2021-03-07,92464
2021-03-08,92810
2021-03-09,93256
2021-03-10,93726
2021-03-11,94191
2021-03-12,94679
2021-03-13,95169
2021-03-14,95628
2021-03-15,96007
2021-03-16,96370
2021-03-17,96839
2021-03-18,97284
2021-03-19,97747
2021-03-20,98194
2021-03-21,98650
2021-03-22,99065
2021-03-23,99411
2021-03-24,99839
2021-03-25,100269
2021-03-26,100758
2021-03-27,101263
2021-03-28,101745
2021-03-29,102127
2021-03-30,102574
2021-03-31,103080
2021-04-01,103631
2021-04-02,104188
2021-04-03,104731
2021-04-04,105274
2021-04-05,105747
2021-04-06,106224
2021-04-07,106892
2021-04-08,107592
2021-04-09,108263
2021-04-10,108940
2021-04-11,109554
2021-04-12,110141
2021-04-13,110683
2021-04-14,111414
2021-04-15,112112
2021-04-16,112785
2021-04-17,113443
2021-04-18,114114
2021-04-19,114646
2021-04-20,115195
2021-04-21,115926
2021-04-22,116661
2021-04-23,117458
2021-04-24,118243
2021-04-25,118887
2021-04-26,119386
2021-04-27,119898
2021-04-28,120667
2021-04-29,121346
2021-04-30,122007
2021-05-01,122634
2021-05-02,123240
2021-05-03,123728
2021-05-04,124269
2021-05-05,124945
2021-05-06,125519
2021-05-07,126044
2021-05-08,126745
2021-05-09,127309
2021-05-10,127772
2021-05-11,128282
2021-05-12,128916
2021-05-13,129631
2021-05-14,130378
2021-05-15,131059
2021-05-16,131669
2021-05-17,132288
2021-05-18,132816
2021-05-19,133470
2021-05-20,134116
2021-05-21,134677
2021-05-22,135343
2021-05-23,135928
2021-05-24,136458
2021-05-25,136974
2021-05-26,137679
2021-05-27,138308
2021-05-28,138895
2021-05-29,139428
2021-05-30,139908
2021-05-31,140338
2021-06-01,140797
2021-06-02,141474
2021-06-03,142155
2021-06-04,142850
2021-06-05,143594
2021-06-06,144150
2021-06-07,144635
2021-06-08,145089
2021-06-09,145691
2021-06-10,146301
2021-06-11,146857
2021-06-12,147422
2021-06-13,147874
2021-06-14,148273
2021-06-15,148646
2021-06-16,149191
2021-06-17,149731
2021-06-18,150238
2021-06-19,150720
2021-06-20,151149
2021-06-21,151506
2021-06-22,151900
2021-06-23,152545
2021-06-24,153155
2021-06-25,153789
2021-06-26,154457
2021-06-27,155071
2021-06-28,155572
2021-06-29,156167
2021-06-30,156961
2021-07-01,157722
2021-07-02,158547
2021-07-03,159341
2021-07-04,160084
2021-07-05,160795
2021-07-06,161541
2021-07-07,162753
2021-07-08,164028
2021-07-09,165344
2021-07-10,166722
2021-07-11,168046
2021-07-12,169146
2021-07-13,170296
2021-07-14,171909
2021-07-15,173508
2021-07-16,175043
2021-07-17,176492
2021-07-18,177946
2021-07-19,179197
2021-07-20,180475
2021-07-21,182256
2021-07-22,184097
2021-07-23,185727
2021-07-24,187356
2021-07-25,188843
2021-07-26,190161
2021-07-27,191524
2021-07-28,193419
2021-07-29,195092
2021-07-30,196802
2021-07-31,198341
2021-08-01,199783
2021-08-02,201001
